Date,Weekday,Post,Like,Comment,Share
2017/05/23,3,0,0,0,0
2017/05/24,4,0,0,0,0
2017/05/25,5,0,0,0,0
2017/05/26,6,0,0,0,0
2017/05/27,7,1,4,0,0
2017/05/28,1,0,0,0,0
2017/05/29,2,0,0,0,0
2017/05/30,3,0,0,0,0
2017/05/31,4,0,0,0,0
2017/06/01,5,0,0,0,0
2017/06/02,6,0,0,0,0
2017/06/03,7,0,0,0,0
2017/06/04,1,0,0,0,0
2017/06/05,2,0,0,0,0
2017/06/06,3,1,7,0,0
2017/06/07,4,0,0,0,0
2017/06/08,5,0,0,0,0
2017/06/09,6,0,0,0,0
2017/06/10,7,0,0,0,0
2017/06/11,1,0,0,0,0
2017/06/12,2,0,0,0,0
2017/06/13,3,0,0,0,0
2017/06/14,4,0,0,0,0
2017/06/15,5,1,1,0,0
2017/06/16,6,3,276,1,25
2017/06/17,7,0,0,0,0
2017/06/18,1,0,0,0,0
2017/06/19,2,0,0,0,0
2017/06/20,3,0,0,0,0
2017/06/21,4,0,0,0,0
2017/06/22,5,0,0,0,0
2017/06/23,6,1,36,0,1
2017/06/24,7,0,0,0,0
2017/06/25,1,0,0,0,0
2017/06/26,2,0,0,0,0
2017/06/27,3,1,32,0,3
2017/06/28,4,1,8,0,0
2017/06/29,5,0,0,0,0
2017/06/30,6,0,0,0,0
2017/07/01,7,0,0,0,0
2017/07/02,1,0,0,0,0
2017/07/03,2,0,0,0,0
2017/07/04,3,0,0,0,0
2017/07/05,4,1,18,0,0
2017/07/06,5,3,69,2,0
2017/07/07,6,0,0,0,0
2017/07/08,7,0,0,0,0
2017/07/09,1,0,0,0,0
2017/07/10,2,0,0,0,0
2017/07/11,3,1,18,0,0
2017/07/12,4,0,0,0,0
2017/07/13,5,0,0,0,0
2017/07/14,6,0,0,0,0
2017/07/15,7,0,0,0,0
2017/07/16,1,0,0,0,0
2017/07/17,2,0,0,0,0
2017/07/18,3,1,11,0,0
2017/07/19,4,1,30,0,1
2017/07/20,5,1,31,0,0
2017/07/21,6,0,0,0,0
2017/07/22,7,1,1,0,0
2017/07/23,1,0,0,0,0
2017/07/24,2,6,55,0,1
2017/07/25,3,0,0,0,0
2017/07/26,4,0,0,0,0
2017/07/27,5,0,0,0,0
2017/07/28,6,3,2,1,0
2017/07/29,7,1,13,0,0
2017/07/30,1,2,29,0,5
2017/07/31,2,0,0,0,0
