word,14th,15th,total
"時候",1,1,2
"之外",1,1,2
"面向",1,1,2
"攸關",1,1,2
"擔任",1,1,2
"所有人",1,1,2
"方案",1,1,2
"系統",1,1,2
"鼓勵",1,1,2
"減輕",1,1,2
"完全",1,1,2
"準備",1,1,2
"符合",1,1,2
"開放",1,1,2
"上路",1,1,2
"動力",1,1,2
"就職",1,1,2
"最後",1,1,2
"實際",1,1,2
"或是",1,1,2
"劇烈",1,1,2
"課題",1,1,2
"當中",1,1,2
"角色",1,1,2
"實力",1,1,2
"甚至",1,1,2
"高度",1,1,2
"擴大",1,1,2
"層面",1,1,2
"地區",1,1,2
"內部",1,1,2
"凝聚",1,1,2
"立場",1,1,2
"常態",1,1,2
"思維",1,1,2
"尊重",1,1,2
"雙方",1,1,2
"條例",1,1,2
"分享",1,1,2
"行政院",1,1,2
"專責",1,1,2
"攜手",1,1,2
"人道",1,1,2
"援助",1,1,2
"疾病",1,1,2
"反恐",1,1,2
"人心",1,1,2
"不安",1,1,2
"幸福",1,1,2
"實質",1,1,2
"記得",1,1,2
"驕傲",1,1,2
"多麼",0,2,2
"容易",0,2,2
"全世界",0,2,2
"保持",0,2,2
"居家",0,2,2
"保護",0,2,2
"善良",0,2,2
"生死與共",0,2,2
"堅韌",0,2,2
"良善",0,2,2
"希望",0,2,2
"光榮",0,2,2
"喜悅",0,2,2
"自助助人",0,2,2
"自助人助",0,2,2
"衝擊",0,2,2
"不僅",0,2,2
"重新",0,2,2
"掌握",0,2,2
"超前",0,2,2
"部署",0,2,2
"帶領",0,2,2
"啟動",0,2,2
"先機",0,2,2
"理念",0,2,2
"落實",0,2,2
"資訊",0,2,2
"基地",0,2,2
"智慧",0,2,2
"資安",0,2,2
"製造",0,2,2
"疫苗",0,2,2
"頂尖",0,2,2
"軍民",0,2,2
"進一步",0,2,2
"綠能",0,2,2
"中心",0,2,2
"供應",0,2,2
"民生",0,2,2
"國內",0,2,2
"幾年",0,2,2
"最好",0,2,2
"條件",0,2,2
"藉由",0,2,2
"保證",0,2,2
"協助",0,2,2
"公衛",0,2,2
"布局",0,2,2
"蔡英文",0,2,2
"爭取",0,2,2
"領域",0,2,2
"因此",0,2,2
"受到",0,2,2
"思覺",0,2,2
"失調症",0,2,2
"患者",0,2,2
"社工",0,2,2
"個案",0,2,2
"優化",0,2,2
"修法",0,2,2
"對稱",0,2,2
"防衛",0,2,2
"提高",0,2,2
"部隊",0,2,2
"軍隊",0,2,2
"人力",0,2,2
"落差",0,2,2
"取得",0,2,2
"肯定",0,2,2
"組織",0,2,2
"再次",0,2,2
"接受",0,2,2
"台海",0,2,2
"長遠",0,2,2
"與時俱進",0,2,2
"司改",0,2,2
"距離",0,2,2
"腳步",0,2,2
"監察院",0,2,2
"七十年",0,2,2
"駐台",1,0,1
"好朋友",1,0,1
"剛剛",1,0,1
"裡面",1,0,1
"正式",1,0,1
"宣誓",1,0,1
"就任",1,0,1
"栽培",1,0,1
"政黨",1,0,1
"輪替",1,0,1
"確定",1,0,1
"因素",1,0,1
"長達",1,0,1
"交接期",1,0,1
"政權",1,0,1
"移轉",1,0,1
"十六日",1,0,1
"結果",1,0,1
"解讀",1,0,1
"此刻",1,0,1
"困難",1,0,1
"迫切",1,0,1
"執政",1,0,1
"義無反顧",1,0,1
"眼前",1,0,1
"誠實",1,0,1
"扛起",1,0,1
"深切",1,0,1
"呼籲",1,0,1
"成見",1,0,1
"交給",1,0,1
"身為",1,0,1
"全國",1,0,1
"宣示",1,0,1
"正面",1,0,1
"破產",1,0,1
"僵化",1,0,1
"脈動",1,0,1
"脫節",1,0,1
"十分",1,0,1
"有限",1,0,1
"代工",1,0,1
"面臨",1,0,1
"瓶頸",1,0,1
"急速",1,0,1
"老化",1,0,1
"尚未",1,0,1
"出生率",1,0,1
"低落",1,0,1
"托育",1,0,1
"遙遙無期",1,0,1
"財政",1,0,1
"樂觀",1,0,1
"食品",1,0,1
"困擾",1,0,1
"貧富",1,0,1
"差距",1,0,1
"強調",1,0,1
"低薪",1,0,1
"人生",1,0,1
"動彈不得",1,0,1
"充滿",1,0,1
"無奈",1,0,1
"茫然",1,0,1
"友善",1,0,1
"不足",1,0,1
"變好",1,0,1
"根本",1,0,1
"雖然",1,0,1
"辦法",1,0,1
"加薪",1,0,1
"一點",1,0,1
"走上",1,0,1
"必定",1,0,1
"困境",1,0,1
"交到",1,0,1
"妄自菲薄",1,0,1
"海洋",1,0,1
"韌性",1,0,1
"可靠",1,0,1
"工程師",1,0,1
"敏捷",1,0,1
"中小企業",1,0,1
"永不",1,0,1
"屈服",1,0,1
"創業",1,0,1
"下定決心",1,0,1
"就業",1,0,1
"分配",1,0,1
"第一步",1,0,1
"自主性",1,0,1
"加強",1,0,1
"多邊",1,0,1
"雙邊",1,0,1
"談判",1,0,1
"多元性",1,0,1
"告別",1,0,1
"以往",1,0,1
"過於",1,0,1
"單一",1,0,1
"現象",1,0,1
"除此之外",1,0,1
"唯有",1,0,1
"停滯",1,0,1
"出口",1,0,1
"內需",1,0,1
"雙引擎",1,0,1
"表裡",1,0,1
"重塑",1,0,1
"生產力",1,0,1
"權益",1,0,1
"薪資",1,0,1
"同步",1,0,1
"系統性",1,0,1
"聯手",1,0,1
"集結",1,0,1
"催生",1,0,1
"佈局",1,0,1
"拋棄",1,0,1
"零碎",1,0,1
"短視",1,0,1
"近利",1,0,1
"眼光",1,0,1
"中央",1,0,1
"聯合",1,0,1
"無止盡",1,0,1
"揮霍",1,0,1
"自然",1,0,1
"嚴格",1,0,1
"把關",1,0,1
"循環",1,0,1
"廢棄物",1,0,1
"轉換為",1,0,1
"觀念",1,0,1
"看待",1,0,1
"保育",1,0,1
"災害",1,0,1
"兒少",1,0,1
"隨機",1,0,1
"永遠",1,0,1
"承受",1,0,1
"傷痛",1,0,1
"覺得",1,0,1
